,portfolio,total_fees,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
928,FCT-WAVES-REP-DCR-STEEM-XLM,2213.046627740912,914,0,94442.16907996434,100545.32819329409
929,WAVES-DOGE-XMR-DCR-BTC-LSK,1213.20813135656,719,69,52593.11895960173,76935.04122686858
930,DASH-ZEC-DOGE-STRAT-FCT-DCR,978.6991213845432,808,0,26325.53508502377,43412.366390488074
931,STRAT-GNT-GNO-BTC-WAVES-LTC,847.9303508197688,736,108,29553.048579071743,42994.17991688366
932,FCT-ETC-DCR-DASH-XEM-STRAT,1325.171316465394,898,0,26372.80525787981,49582.90149070481
933,GNO-ETH-XLM-PIVX-STRAT-STEEM,2151.547590781296,839,123,93547.51941113763,100220.74201757208
934,ARDR-BTC-GNO-ETH-XLM-DOGE,1941.8900518935347,778,152,91631.57677377154,90988.8456825096
935,ETH-BTC-XRP-STRAT-ETC-GNO,996.2158797381384,677,165,33287.143124833885,48659.49430059018
936,DCR-ETH-XRP-ETC-STEEM-ZEC,1315.3266333836352,758,94,39708.168285779124,64566.46624720003
937,STEEM-STRAT-WAVES-XMR-LTC-XEM,2202.8994359470794,864,0,45548.579461758185,90820.23136980267
938,PIVX-WAVES-ETH-DOGE-DASH-REP,977.9074432053129,680,96,32220.766776113815,49315.707657549654
939,ETC-DCR-BTC-LSK-STRAT-GNO,1036.9660434215355,792,82,39404.75359107975,47446.752681524056
940,XRP-DASH-GNT-STRAT-XEM-GNO,1610.0832377457095,908,0,31429.16804481088,56194.291607580555
941,XEM-LTC-LSK-STRAT-XRP-PIVX,2456.9220450749813,900,0,52520.76885545938,95693.12324614023
942,ARDR-LSK-XRP-XLM-DASH-STRAT,4365.319592826541,950,0,113105.69424791967,166014.17175696688
943,LSK-STRAT-GNO-ZEC-XLM-XRP,2708.705739082625,904,0,105821.96997676289,111626.38937837134
944,FCT-WAVES-GNO-LTC-REP-XEM,1288.1029586101952,870,0,27366.900822398908,42974.44838793192
945,ETH-DOGE-DASH-ETC-XLM-BTC,1333.0817524874124,638,168,90610.23943109949,86917.42506161398
946,GNO-XMR-XEM-XRP-LTC-DCR,1635.1307283113688,864,0,36405.80772793708,61795.01889486252
947,GNO-ARDR-ETC-WAVES-XEM-ZEC,1561.6077821107556,872,0,28515.46603151842,46190.24990237085
948,REP-ETH-XLM-DCR-STEEM-ETC,1898.7754781284482,813,103,92687.34717646461,98729.47326465222
949,ETH-XRP-ETC-LSK-PIVX-XMR,1373.6905576854112,701,125,52346.68521001628,76683.99073340607
950,ZEC-ETH-ARDR-LSK-DCR-ETC,1185.8003145746115,728,100,44498.625499944734,59426.953898706466
951,XEM-GNO-DCR-LSK-STEEM-DOGE,2115.793107465402,972,0,49899.08442232951,81101.34432557168
952,XLM-ZEC-LSK-STRAT-REP-XEM,3026.192576956726,904,0,101789.13250268262,116463.96611259665
