portfolio,total_fees,taxes_owed,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
ENRG-BYC-EGC-RBY-SEQ-ERC-VIA-NLG-GRC-DCR,1223.3349725563753,15542.270713762951,1496,0,17955.222268974074,42940.562535469006
EGC-SLR-NEO-AEON-RVR-BLK-LTC-ABY-CLAM-ERC,1985.3452784246517,30884.215331402782,1518,0,52065.22432243963,65632.40957199935
DOPE-CLAM-XLM-SYS-EFL-REP-WAVES-XMR-POT-EMC,965.8075273630193,15754.289878127563,1418,0,17521.27405446741,41031.95484931211
NEO-IOP-ABY-XCP-EMC-XMY-OK-PTC-BTC-SEQ,3123.383793180851,47245.33647273957,1605,119,54660.60324721902,95321.92940235302
XST-DOPE-DCR-XCP-BCY-BURST-AUR-ZCL-ETH-DMD,2224.278924421321,29844.966458057897,1622,0,19399.54878299797,76134.7285333331
SBD-BTC-DGB-RDD-NLG-VIA-ETH-GRS-LTC-NXT,1581.5888954249097,26853.54526765711,1397,101,40340.14841330961,76317.17794028038
STRAT-NLG-RDD-XLM-RVR-AEON-CLAM-ERC-BCY-TX,1368.460155354615,19832.69828531778,1590,0,17216.21193832746,46191.39735325568
RDD-ENRG-BTC-SPR-BLK-AEON-ZCL-EMC-NXT-ERC,2225.4168467463505,30687.845216435093,1634,112,17502.614882310878,78093.29848450207
WAVES-DOPE-XST-GRC-XVG-SLR-DMD-XMR-XCP-BCY,2009.5880501824697,28014.127568300704,1592,0,38559.4411276855,61393.38847892992
OK-SLR-ENRG-BTC-IOC-PIVX-EXCL-RVR-REP-STRAT,1334.410011612216,18445.197111514968,1483,115,15075.365599303046,40727.54497157748
XMR-DGB-VRM-XST-NXS-XMY-NXT-LSK-ERC-NEO,3927.6144119318737,57232.820167788814,1652,0,61357.90142714043,129518.4440437561
STRAT-EGC-XVG-ABY-DASH-STEEM-NXS-RVR-ERC-SPR,2591.9692028295954,34037.832037961234,1674,0,37890.253774027995,80591.49257118547
RBY-LTC-PIVX-POT-BYC-SEQ-XRP-DASH-ETC-ZCL,1394.305447074794,19534.091786189747,1534,0,17450.55577882162,48753.150544769225
BURST-CURE-EBST-XRP-DOPE-VRM-DCR-POT-RVR-LBC,2235.363421629252,32660.37283483627,1614,0,15914.244534305984,66467.91609737277
BCY-EXCL-NXS-XRP-POT-RDD-PIVX-ERC-DASH-ETH,1101.5576121116292,17812.68469880857,1397,7,18954.348505227572,43691.72780253572
ABY-SPR-BTC-AUR-TX-DOPE-GRS-PPC-LTC-EGC,2447.909228427931,35586.50226171304,1619,103,36514.0522627011,91523.33956023515
BTC-IOC-DGB-PTC-LTC-BSD-RVR-EFL-PPC-NEO,1774.0357548233444,27851.47006411573,1418,98,54111.739183978905,66314.08719517424
NXT-XST-EGC-MONA-EXCL-BURST-XCP-GRC-FLO-SLR,1992.1843762520084,27042.72231805126,1650,0,23046.767421913944,60465.84879953338
STEEM-DMD-NAV-LSK-EMC-PPC-BURST-VTC-MONA-ENRG,1677.496198667867,25267.67393501365,1488,0,27653.225444027008,61937.49025923619
EFL-DGB-IOC-BYC-OK-XVG-AEON-GRC-CLOAK-EBST,4622.782203835102,58456.826050751566,1828,0,44813.40065278874,133745.49288273123
POT-RVR-RBY-VTC-WAVES-EXP-DMD-XMR-DCR-CURE,1036.3747655807724,16066.812036866624,1414,0,17065.63238994006,36521.59581714929
XST-NEO-XMY-AEON-RDD-BCY-XRP-RVR-XCP-SPR,3391.8880522952945,44059.15423908403,1754,0,54012.28170856008,92792.78992890907
IOC-DOPE-SYS-ZCL-VRM-STRAT-XMG-RBY-GRC-VIA,2469.4247718342,32556.19056135261,1686,0,15738.668859908708,70537.06728934802
NEO-LSK-ETH-ZEC-GRC-GRS-ETC-EBST-SPR-NLG,2624.9945255586013,36628.000498988324,1627,15,75025.33496940466,103857.69583790857
BURST-GRS-CLOAK-XMG-NEOS-ETC-SBD-FLO-SPR-NAV,2586.243027321455,32954.66338059498,1772,0,39505.90912055159,88906.84252877637
CURE-EMC-STRAT-CLOAK-BURST-BSD-SEQ-BCY-ETC-PPC,1132.8203849480421,15944.308527650754,1432,0,20235.065021284365,40914.81349258924
POT-BRK-AMP-NEOS-SEQ-ABY-XST-ZEC-REP-STEEM,1275.0355306050124,16544.12710475898,1540,0,14958.854137976836,38786.464221963564
IOP-SPR-REP-ETC-XMR-BLK-STRAT-BSD-XST-STEEM,1361.5665530067522,17491.902707524445,1618,0,14784.002871084573,44998.523071844764
EXP-STEEM-LSK-DOGE-NEO-SLR-FLO-AEON-SHIFT-CLOAK,2175.7335707056664,29675.982067703466,1596,0,60073.85534495642,76383.47277684139
EMC-BURST-EGC-SBD-FLO-CLAM-STRAT-MONA-XLM-DOPE,1912.1258472541456,27938.70589741701,1586,0,22742.653361188502,67744.34128582463
RVR-PPC-POT-NEO-STEEM-AMP-XLM-EFL-ETH-NXT,1356.755857083108,21971.350347350734,1427,25,52834.459000125236,52304.41753010641
IOP-ETH-DASH-PIVX-RBY-BSD-NXT-SLR-WAVES-ERC,1124.6728553006697,16771.910744035973,1413,11,14690.535099504707,39483.531729816386
