,hodl,hourly,daily,weekly,monthly
VTC-BNT-DCT-MET-ANT,2424.9894960698794,5593.524028704176,4828.485956226194,4635.635230454816,3106.6964269544897
EXP-BLT-ENG-NXC-RADS,2596.265293344547,12341.686037842437,6215.147634437141,6169.635380293853,3128.045050962679
SC-MTL-UPP-PART-SPC,2767.5033966328056,8.088919860251462e+60,22947.917161964586,20153.51771412505,3490.9288308914697
ENG-DMT-LRC-BNT-TIX,2849.1239780395117,7268.4080276941495,6416.36763852605,4655.610345331488,3540.0455051514746
ZCL-UPP-BCHABC-VRM-NGC,2484.177618784375,9994.349155598096,7732.081903063809,7390.228637010821,3063.328671685256
LTC-SC-AEON-DTA-DCT,2498.266537091969,5756.645730420041,4751.629603230758,4075.2454435680575,3365.729644423275
NEO-BSD-MANA-GLD-SPC,2918.6190941189802,1.12533127529442e+61,20097.99865398882,24317.88316688457,4621.720216598758
DCR-XRP-XWC-POWR-KMD,2767.7479106578185,4433.254482076421,3874.131893728908,3504.7923821181157,2952.2047997024383
ZEC-HYDRO-DYN-DMD-LBC,2846.24222445366,5430.3865130349495,4269.915100388437,3923.5161447677833,3057.529162422445
AMP-BURST-MUSIC-DOGE-VRC,3078.583167012009,7474.889224921313,5541.280245853586,4558.517340426572,3781.013417204657
CVC-DCT-BITB-LUN-XCP,2570.4416296115305,7180.761787690965,5512.162884130281,5093.976350013796,3836.800277795918
HYDRO-IOP-LTC-BAY-PINK,2825.1892404304263,4901.61069064754,4144.462863900609,3864.780848660727,3399.022681093203
PAL-RCN-TIX-GLD-ADX,3526.6256035558245,32631.879491436608,12028.7345322348,12192.686744148345,5419.3316851813015
PTOY-COVAL-BITB-THC-FCT,3719.2095839275426,20524.556302986173,16051.800801457019,29304.7346439483,8395.772638349372
OMG-QRL-VIB-CRW-BAT,2650.120786751225,7564.5100826521975,5656.688150420667,4560.664596861828,3572.4636378225764
STEEM-XRP-BKX-MONA-UBQ,2398.2254411346908,6003.34997259904,4651.750480489718,4191.482591734789,2806.219237162031
SC-VIB-GRS-XEM-THC,2784.2805126177873,5498.333780618214,4673.8986082684805,4048.0615898455603,3318.300612536942
POWR-PAL-DTA-LBC-RADS,2909.1589633152053,15583.360370391894,5923.92901614304,5184.657320052209,3683.6756634342214
SWIFT-GUP-SALT-BAT-PAL,2812.708917264161,18080.854627054174,6555.453324234526,6033.3397904008325,4401.832124287189
ETH-RDD-NLC2-BSD-SLS,2797.592293294052,9444.383597374577,6194.677622028054,5426.627662267454,3799.4653961140757
XEM-DTA-SNT-LTC-PTOY,2762.9298989743293,6063.30332240518,5109.291937023198,4683.969113139461,3425.6166970650393
TX-NXT-DYN-CURE-MER,3056.2571166668813,11791.953602171878,7068.301889421529,5036.773693005808,3831.748565302784
PAY-DCR-PIVX-NXC-TIX,2892.008113083817,7146.272588604784,5778.578664191233,6114.295163208659,3040.6227872081117
SALT-GTO-CRW-IGNIS-ADA,2159.1787083413246,5529.004622782667,4707.702561435719,4139.115109038889,2960.871113109468
NEO-GNO-PAX-ZRX-GUP,2696.771162580244,6071.962652042699,5578.2781855584835,5875.226612368993,3249.3252859380354
MFT-GRC-PART-NEOS-XNK,3142.35518091685,169089.0454165278,19471.272798752758,7963.523622139721,3624.14392023214
CURE-VIA-ARK-PART-COVAL,3394.441480822015,8230.946141527489,6437.662939835395,5579.39516851821,3687.424682332757
BCHABC-ENJ-BURST-FLDC-GNO,2857.4305198450734,7993.305458279498,6897.110449769651,7421.753546149593,3170.5085425577086
VRC-WAX-EMC-PMA-SHIFT,3214.8668972433893,7758597.716789291,20813.783118416122,5907.762033301234,5260.560259965649
IHT-VRC-KMD-ENJ-XMY,3166.640908401226,6463.216582312715,4508.096723448087,4179.518740331627,3757.743470698442
ETC-GBYTE-PAY-STEEM-STRAT,3115.6353435165,5134.68579939088,4641.759189650431,4143.147857269447,3142.851132266046
AEON-SYS-PIVX-GLD-FLDC,3075.8337332059705,11455.852613563291,8412.757573588577,9185.006435503072,4595.867251406103
CLOAK-WAVES-DTA-SWIFT-SC,3245.7516555324232,12222.301404792237,6879.683412918778,6460.492670029184,3542.9922653264866
GAME-XEM-STEEM-BCHSV-DNT,3128.404827744708,24190686993.063843,83158.1550256579,16951.032007143436,5687.246864382381
UPP-VEE-KORE-GAM-MCO,2720.53894275533,16873.48769557952,9479.833915761046,6838.883571892593,3617.4200776819134
BLOCK-RDD-PART-BURST-OK,3156.0832039972265,6235.2642638576,5394.459776737567,5416.029220009447,3616.8981365970835
NEO-GNO-PIVX-DASH-FTC,2652.634108185748,4164.789994880593,3574.3636281129207,3328.442680511527,2773.76532129741
PINK-SNT-ARK-RFR-XEM,3085.9409602110195,5907.861263244371,5323.433243403872,4858.19690414807,3754.390223304238
UKG-IOC-CURE-BLOCK-ANT,3012.5139568732884,9020.507866207454,7086.945254695245,5324.849210611867,4205.94452372038
EXP-OMG-IGNIS-EDG-BURST,2813.6986094888384,5026.728012120243,4101.5502557998525,3923.5448330833897,3138.5637146613594
DTA-ARDR-XRP-SHIFT-STORJ,2849.658585040635,6051.4002663985275,5157.811051105924,4484.200287100161,3675.6898343737744
IOP-MORE-MONA-MANA-BLOCK,2552.2001028870154,6102.6089354140795,4773.162342703052,4299.118586342904,3305.4208394608177
QTUM-POT-BOXX-HYDRO-NGC,2730.0816831129714,5903.10828733051,4981.19999457974,4986.558219729097,3576.268993889976
DYN-MUSIC-EXCL-DASH-VIB,2876.8198991222607,14431.303445296402,7815.978301040339,5740.283875083874,3594.4230988200316
TIX-FLO-XLM-BOXX-CANN,2601.741446877352,9444.060695116415,7221.506085505052,5885.977704259828,3831.367666093081
IGNIS-XEL-ADA-BLOCK-DCR,2197.05839467648,3641.9171594050013,3395.6354223071658,3074.427981509869,2650.408440016489
DTB-DMD-BLK-RCN-COVAL,3288.248188789569,11557.9740561228,8435.042350831422,6916.871717825743,3625.703497759328
SBD-SHIFT-GAM-DMD-RVR,3110.706171826238,5809.240401999583,4583.524883666632,4029.007201881909,3355.2493060452393
