portfolio,total_fees,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
SNT-LSK,684.0636901309496,194,0,10469.86014344476,39322.84153740884
BAT-ETC,301.7742205703569,148,0,10976.265650294788,12313.713033721771
GNO-ZEC,451.1084538981317,150,0,3884.489604144225,13585.802672147765
BAT-DASH,275.4721709742216,126,0,11361.883161342872,7947.796056253948
SNT-XRP,789.1072709536815,174,0,10430.882192569556,48777.96156763589
DASH-ETC,393.9447746662683,142,0,6596.838958821601,14063.104545072905
WAVES-NEO,192.1706229469154,132,0,14066.775420967842,8499.584664237329
XLM-FCT,170.85295515638614,198,0,49477.28971720321,6313.50245487342
NEO-OMG,205.0650786030737,154,0,25972.79037400308,12534.435591716272
XLM-XMR,369.51608774212923,188,0,56547.333276113044,9589.839568827663
FCT-XRP,286.33597969099685,162,0,8417.25942808461,16739.862925618298
ETC-STEEM,199.1785332616896,116,0,5917.912990577973,11040.669543167962
DOGE-DASH,257.51561262679894,140,0,8435.171721824518,8814.551255390317
REP-FCT,196.86585841129357,166,0,5859.2930423469115,14784.285824106111
NEO-XRP,144.6440000031358,98,0,18655.652446029813,9686.52063915004
PIVX-XMR,706.3971690235683,172,0,11250.411566631863,18054.99521147811
BTC-LTC,58.482198725307384,37,37,12732.968169742751,10362.968898664149
NEO-PIVX,289.23991273424963,166,0,14418.761025667229,8440.443974159363
BTC-XMR,162.34797378268385,59,59,15930.904029446085,21713.67515909861
ETH-DOGE,406.3243801935253,156,0,10944.459647453603,14884.414824767937
XRP-GBYTE,196.48103291864822,142,0,7802.385417267829,13993.369719318216
WAVES-FCT,146.7570801689433,124,0,3828.3824030226388,11087.164706423937
GBYTE-XLM,134.72359451039927,180,0,48862.41570638643,5830.375822963729
PIVX-DASH,442.7307099326032,138,0,6286.94299619769,8942.400934213372
DCR-DOGE,248.38112011226383,188,0,10964.878023072371,6384.415157774487
DGB-WAVES,561.9926554909287,142,0,8793.384607149468,20242.412827525826
BTC-GBYTE,68.57599695269529,58,58,8245.986459719465,13880.073433764745
ETH-STEEM,288.18531448225855,118,0,8812.818427255144,11095.727981025859
QTUM-WAVES,286.42075229717517,132,0,5969.88229379941,9406.47272361115
XMR-BAT,546.8119398875895,166,0,16325.351731777046,16718.913176350336
GBYTE-BAT,158.40086846966835,116,0,8640.434162050424,10029.687475973795
DGB-BTC,169.23686987983095,65,65,13825.862674663074,23480.307117243807
DASH-ZEC,398.12129814056715,142,0,6602.637412517143,9546.88159337213
ETC-GBYTE,250.1143468040959,152,0,3875.389959529154,17763.83360783652
FCT-XMR,622.5034291777373,192,0,9839.35005182819,28576.955167326025
LSK-QTUM,226.23451393644874,164,0,10597.737269736586,8867.197099418583
SC-ETH,119.20541987027774,83,83,9303.361132844551,7059.099919367958
DGB-GBYTE,375.6583245246868,150,0,7119.4346862284,25392.10806718236
ETC-DASH,393.9447746662683,142,0,6596.838958821601,14063.104545072905
STEEM-GBYTE,153.85650064918846,140,0,3582.081502333609,9407.707202656376
DASH-GNT,310.69980873653475,130,0,6725.228912236243,10750.426064625672
DASH-DGB,451.3247038917863,116,0,9840.883685520846,18182.03719064329
ETH-DCR,262.24441622097845,162,0,12021.450696746628,8557.082580718858
XMR-STEEM,376.53355411266034,142,0,11266.999072060229,14193.579736853473
XMR-GNT,656.3376079796985,190,0,11688.697482670415,22966.76984611008
GNT-XMR,656.3376079796985,190,0,11688.697482670415,22966.76984611008
XEM-BTC,46.31688909880606,48,48,10210.0441940754,9805.388418447239
ZEC-XMR,560.0468873060603,128,0,11566.105982951318,17077.095216526548
REP-BTC,111.81716245352627,69,69,11950.847019964805,13873.220379886072
GNO-REP,328.55505556803297,150,0,5247.7202224496605,16076.053729312625
STEEM-DOGE,285.746436388872,162,0,7756.245753580887,8542.681923593518
GNT-GNO,460.0674311487113,152,0,4007.081103863324,16123.297137087513
BAT-BTC,107.00627263583768,72,72,15346.862150485098,10130.652882006396
ETC-ZEC,489.06847148363596,154,0,6217.019901469062,15662.455310891233
STEEM-DCR,138.05979136553933,144,0,8833.236802873911,4522.9328858352255
BAT-DCR,164.63649841553072,156,0,13891.589462590726,4837.206596083361
STEEM-BAT,178.30393785352743,118,0,10682.957193099242,6548.743677150276
SNT-DGB,1149.7382036367246,152,0,9747.931461530126,80078.46911431852
DASH-XEM,187.98073606587693,126,0,6225.065204933173,7881.936798476698
QTUM-GNT,282.9916368635073,152,0,6760.153814537347,10717.594786910402
DOGE-XLM,215.23138140911624,200,0,53036.57995763372,5139.373949707951
DOGE-XMR,560.3470277648855,156,0,13398.640292258691,19962.316818088402
XMR-XRP,566.3098488986312,174,0,15487.302986994453,22683.718714071045
OMG-XRP,280.84557660379244,166,0,21382.350291224142,16545.506087188292
DGB-PIVX,655.1697950204539,156,0,9145.370211848853,19144.719155943756
REP-PIVX,349.8389058959494,164,0,7270.354557150585,10680.461534293141
XRP-QTUM,279.2525731969062,138,0,10558.759318861385,11063.81011530705
GNO-ETH,322.3897352222631,77,77,6773.596587125854,20935.75856553951
GNT-XEM,186.5816503620725,130,0,5967.8376472997315,9931.527248580123
DOGE-XRP,351.2462039395305,154,0,11976.54966851511,12751.159199662701
DASH-GBYTE,259.783439312799,152,0,4261.007470577239,11708.838546839437
DCR-NEO,120.21196256797774,138,0,17643.980800587076,5128.751424911119
WAVES-PIVX,337.7929672053575,150,0,5239.443917826312,8808.275706008737
BTC-SNT,328.11399103975646,77,77,10874.483235021191,50162.18271414416
PIVX-GNO,594.8133384212299,180,0,3568.795187824772,13306.212871446438
DCR-ZEC,305.71034798657286,182,0,9132.343713765,6185.657345862514
PIVX-XLM,280.84266638236744,190,0,50888.351232006884,4965.960624923555
ZEC-GBYTE,316.7459012944555,170,0,3881.1884132246973,13021.813143939524
DCR-LSK,154.54265889282215,164,0,13092.518668683335,5636.6997629587095
GNT-REP,298.8446330415275,166,0,7708.640473189137,13801.277448390225
SNT-QTUM,651.6125668434607,164,0,6924.429148180069,37781.49861560168
STEEM-GNO,256.0216434890409,120,0,3585.3826932531374,10151.8026692907
LSK-XEM,152.47499790892164,168,0,9805.421102498969,8485.756572628014
SC-XEM,91.85470764796112,130,0,6036.681942278954,4058.1357217849772
BAT-PIVX,317.7805827662605,158,0,10666.369687670876,7570.335655452267
GNO-WAVES,417.1191629717434,162,0,3216.8095831253863,13506.429544395516
DCR-SNT,518.0597504430574,160,0,9419.21054712682,24158.976011382394
SNT-XLM,469.01312117885277,206,0,51490.91248168817,19579.8170496207
QTUM-LSK,226.23451393644874,164,0,10597.737269736586,8867.197099418583
BAT-WAVES,270.1096473336295,142,0,10314.384082971492,8321.222581006326
ZEC-SNT,978.744174930627,188,0,6509.685188526425,42460.24133643965
SC-BTC,49.99737978019065,61,61,10779.052196357692,5193.954165349132
GNO-BTC,154.11308483720188,66,66,8249.287650638993,16231.053606129293
GNO-XRP,406.498902932897,154,0,7805.686608187359,15985.842009478185
DOGE-GNT,390.8657522332172,190,0,8177.944164191074,12559.210577173199
BAT-ETH,176.12484768988813,78,78,13871.17108697196,12090.97531209729
ZEC-DOGE,464.9463682336128,168,0,8055.352664471976,11072.630821734863
DOGE-GBYTE,314.3109527280555,196,0,5713.722722532069,13747.103363980008
WAVES-DCR,219.6774779353051,150,0,8464.66369274616,5836.900404803935
OMG-GBYTE,263.7882230849894,180,0,15119.523345241101,18524.474230992208
BTC-DGB,169.23686987983095,65,65,13825.862674663074,23480.307117243807
WAVES-XEM,232.24987108601283,162,0,5177.566126561794,9202.594427210926
GNO-SC,209.40575826462393,154,0,4075.9253988425457,6283.58375887393
OMG-BAT,241.04653314857467,168,0,22220.399036006733,12255.220225455549
QTUM-NEO,169.56136336793165,136,0,15149.199401640328,7836.35145306605
LTC-BTC,58.482198725307384,37,37,12732.968169742751,10362.968898664149
WAVES-DOGE,380.0747659469775,158,0,7387.672643453137,10593.913756921009
REP-DOGE,336.8931731630722,176,0,9418.58328277741,12040.940268229384
OMG-ETH,228.54681150534415,84,84,20350.26027016264,21704.490971437728
ETH-GBYTE,347.95564241052926,160,0,6770.295396206326,18370.079091010222
DCR-STEEM,138.05979136553933,144,0,8833.236802873911,4522.9328858352255
STEEM-LTC,149.4527367929746,106,0,8069.0632123568985,7164.86502093986
NEO-FCT,221.41406927306687,176,0,13007.699510863553,12619.714800619735
DGB-LSK,445.1423231938765,164,0,13421.239583086643,19518.84886289426
WAVES-DASH,329.985129720721,134,0,5934.957391498306,9338.859105537642
ETH-WAVES,222.4623234777544,82,82,8444.245317127394,14754.492865094902
BAT-REP,237.16666539519903,162,0,12345.294722295765,9779.969250283964
DCR-DGB,322.2242793792609,152,0,12370.5899867687,11734.74981398903
NEO-LSK,166.85150475430862,170,0,18694.630396905017,8331.47934407619
XEM-XLM,131.53121913643776,184,0,50826.473440742375,4487.612568863477
GNT-FCT,346.4144551056282,206,0,4618.653923760577,16593.78186303721
GNT-SNT,989.7642681775861,204,0,6632.276688245523,51283.361989698176
NEO-XLM,136.29693084989663,160,0,59715.682735148424,4272.711060118252
XEM-PIVX,268.98636244475625,158,0,5529.551731261179,8320.821426251541
DOGE-OMG,343.29459645285067,188,0,19293.687596488377,14999.478240733697
DASH-SNT,616.4378416259517,152,0,6889.504245878965,36920.24342441476
